epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,6413.79,1.07858,1.3443,0.63396,0.88905,0.77216,0.67988,0.74809,0.45267,0.76348,0.67005,0.74637,0.41553,1.42321,1.94721,0.89595,0.9767,0.000724062,0.000724062,0.000724062
87,6487.13,1.10069,1.37339,0.64648,0.88318,0.81881,0.66144,0.75255,0.44657,0.79998,0.6539,0.74916,0.40081,1.44931,1.99932,0.88575,0.98698,0.000717875,0.000717875,0.000717875
88,6559.13,1.10753,1.3841,0.65661,0.8885,0.84009,0.63889,0.74711,0.44115,0.83986,0.63775,0.74989,0.40273,1.45117,2.01239,0.88933,0.98893,0.000711687,0.000711687,0.000711687
89,6632.4,1.08029,1.3338,0.63031,0.87977,0.84009,0.63889,0.74711,0.44115,0.83986,0.63775,0.74989,0.40273,1.45117,2.01239,0.88933,0.98893,0.0007055,0.0007055,0.0007055
90,6703.83,1.06625,1.31587,0.629,0.88212,0.84029,0.65165,0.74652,0.4428,0.8353,0.64741,0.74902,0.40906,1.43996,1.99689,0.89178,0.98748,0.000699312,0.000699312,0.000699312
91,6780.64,1.08546,1.32879,0.63911,0.87458,0.80791,0.67049,0.73887,0.43657,0.80608,0.6684,0.74451,0.40083,1.45362,2.02085,0.89461,0.9921,0.000693125,0.000693125,0.000693125
92,6856.47,1.05682,1.30503,0.62057,0.87094,0.81108,0.66417,0.73319,0.42732,0.79912,0.65445,0.72509,0.38452,1.46851,2.06987,0.89685,0.99473,0.000686937,0.000686937,0.000686937
93,6928.92,1.087,1.36031,0.63625,0.88115,0.7742,0.6868,0.73606,0.42635,0.77017,0.67593,0.72678,0.38103,1.46841,2.08775,0.89319,0.99239,0.00068075,0.00068075,0.00068075
94,7006.28,1.06872,1.30349,0.62754,0.87085,0.75428,0.69825,0.74351,0.43535,0.74944,0.69016,0.73693,0.3867,1.4486,2.02905,0.88658,0.98667,0.000674562,0.000674562,0.000674562
95,7079,1.09181,1.33541,0.63602,0.87822,0.75428,0.69825,0.74351,0.43535,0.74944,0.69016,0.73693,0.3867,1.4486,2.02905,0.88658,0.98667,0.000668375,0.000668375,0.000668375
